"";"subjectid";"Zaposleni";"d_dug";"k_dug";"matimov";"kapital_rezerve";"osnovni_kapital";"nematimov";"prihod";"placa_net";"placa_brutto";"amortizacija";"financijski_trosak";"porez_dobit";"nett";"materijalni_trosak";"d_obveze";"k_obveze";"Export";"Import";"energy";"reportyear";"employeecounteop";"foreigncontrol";"nacerev21";"nacerev22";"nacerev23";"nacerev24";"countyid";"municipalityid";"NAZIV_OPC";"ZUPANIJA";"NAZIV_ZUP";"naziv";"adresa";"godinaOsnivanja"
"24";"00123757";1;0;4,9195e-05;6,762e-05;2,8827e-05;2,048e-05;0;9,8228e-05;2,4768e-05;3,6413e-05;6,001e-06;0;0;2,867e-06;5,223e-05;0;4,9195e-05;0;0;0;2001;1;NA;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";NA;NA;NA
"25";"00123757";1;0;0,000315964;4,8774e-05;-0,000250545;2e-05;0;6,577e-06;3,3448e-05;4,9224e-05;1,756e-06;0;0;-5,732e-05;1,2917e-05;0;0,000315964;0;0;0;2010;1;0;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";NA;NA;NA
"26";"00123757";1;0;0,000286612;5,0531e-05;-0,000216354;2e-05;0;1,6148e-05;3,22e-05;4,9988e-05;1,756e-06;0;0;-5,7289e-05;1,9133e-05;0;0,000286612;0;0;6,523e-06;2008;1;0;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";NA;NA;NA
"27";"00123757";0;0;0,000343279;4,6987e-05;-0,00028664;2e-05;0;7,871e-06;3,3448e-05;4,9224e-05;0;0;0;-5,6095e-05;1,4742e-05;0;0,000343279;0;0;0;2011;1;0;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";NA;NA;NA
"28";"00123757";1;0;8,012e-05;6,4436e-05;2,9458e-05;2,048e-05;0;7,4274e-05;2,4773e-05;3,6526e-05;3,184e-06;3,749e-06;0;6,3e-07;2,7152e-05;0;8,012e-05;0;0;3,067e-06;2002;1;NA;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";NA;NA;NA
"29";"00123757";1;0;5,0911e-05;7,3621e-05;2,596e-05;2,048e-05;0;0,000131196;2,4768e-05;3,7914e-05;3,712e-06;0;0;1,296e-06;7,9421e-05;0;5,0911e-05;0;0;0;2000;1;NA;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";NA;NA;NA
"30";"00123757";1;0;0,000131794;5,5801e-05;5,333e-06;2,048e-05;0;7,3872e-05;2,88e-05;4,2192e-05;1,757e-06;7,1e-08;0;2,741e-06;2,5282e-05;0;0,000131794;0;0;7,095e-06;2005;1;NA;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";NA;NA;NA
"31";"00124290";NA;0;8,669e-06;4,5127e-05;0,000406919;1,8792e-05;0;0,000315801;4,9832e-05;7,55e-05;0;6,708e-06;0;-7,0173e-05;0,000238382;0;8,669e-06;0;0;1,9824e-05;2017;1;0;"";43;432;4321;9;130;"GOSPIÆ";9;"LIÈKO-SENJSKA";"VAL d.o.o.";"Kaniška 40";"1992"
"32";"00124290";1;0;8,7228e-05;0,000148576;0,000494497;1,8792e-05;0;0,00038692;4,2449e-05;6,4694e-05;3,2797e-05;5,779e-06;0;1,8933e-05;0,000189678;0;8,7228e-05;0;0;1,7209e-05;2015;1;0;"F";43;432;4321;9;130;"GOSPIÆ";9;"LIÈKO-SENJSKA";"VAL d.o.o.";"Kaniška 40";"1992"
"33";"00124290";2;0;0,000210026;0,000299398;0,000409609;1,8792e-05;0;0,000301823;2,3197e-05;3,8807e-05;0;0;0;3,4391e-05;0,000229178;0;0,000210026;0;0;9,332e-06;2010;2;0;"F";43;432;4321;9;130;"GOSPIÆ";9;"LIÈKO-SENJSKA";"VAL d.o.o.";"Kaniška 40";"1992"
"34";"00124290";2;0,000104206;0;0,000266816;0,000326204;1,8792e-05;0;0,000321131;5,0862e-05;8,3254e-05;0;0;0;4,339e-05;0,000127585;0,000104206;0;0;0;1,2602e-05;2008;2;0;"F";43;432;4321;9;130;"GOSPIÆ";9;"LIÈKO-SENJSKA";"VAL d.o.o.";"Kaniška 40";"1992"
"35";"00124290";1;0;1,6645e-05;6,7589e-05;0,000191639;1,8792e-05;0;0,000836732;1,9461e-05;2,8713e-05;0;0;0;6,2828e-05;0,00052567;0;1,6645e-05;0;0;0;2004;1;NA;"F";43;432;4321;9;130;"GOSPIÆ";9;"LIÈKO-SENJSKA";"VAL d.o.o.";"Kaniška 40";"1992"
"36";"00124290";1;0;6,119e-05;0,000114743;0,00051134;1,8792e-05;0;0,000297357;4,2636e-05;6,4765e-05;3,9261e-05;2,636e-06;0;1,6843e-05;0,000151228;0;6,119e-05;0;0;1,8487e-05;2016;1;NA;"F";43;432;4321;9;130;"GOSPIÆ";9;"LIÈKO-SENJSKA";"VAL d.o.o.";"Kaniška 40";"1992"
